Insult,Polarity
1,-0.4
0,0.2
0,0.17
0,0.37
0,0.0
0,0.2
0,0.0
1,-0.4
1,-0.3125
1,-0.8
0,0.6
0,0.0
0,0.0
0,0.166666666667
0,0.0
1,0.133333333333
1,0.0
0,0.8
1,0.0
1,-0.9
0,0.0
0,0.0
0,0.0
0,0.0
0,0.222222222222
0,0.234722222222
0,-0.05
0,0.0
0,0.4875
0,0.2125
0,0.277272727273
0,0.7
0,0.0474206349206
0,0.1
1,-0.9
0,0.2
0,0.215625
1,-0.36
1,-0.75
0,0.00625
0,0.0
1,-0.193333333333
0,0.285714285714
0,0.625
0,0.172222222222
1,0.0
0,0.392857142857
1,0.05
0,0.375
0,0.3
0,0.7
1,-0.658333333333
0,0.0
0,0.5
0,-0.4
1,-0.8
0,0.0
0,-0.194444444444
0,0.6
1,-1.0
0,0.0
1,-0.5
0,-0.23
0,-0.45
0,-0.262962962963
0,-0.225
0,-0.7
0,0.416666666667
0,0.00613636363636
0,0.5
0,0.0331349206349
0,-0.3125
0,0.0
0,0.3
0,0.35
0,0.0
0,-0.8
0,-0.0875
0,-0.0375
1,0.135714285714
1,0.0
0,0.0
1,-0.366666666667
0,-0.125
0,0.0
0,-0.174074074074
0,0.0
0,0.093253968254
1,-0.21875
0,0.1
0,0.0
0,0.416666666667
0,0.15625
1,0.0
0,0.163095238095
1,0.766666666667
1,0.0861111111111
1,0.0
0,-0.154861111111
0,-0.6
1,-0.4
0,-0.221428571429
0,-1.0
1,-0.45
0,-0.05
0,0.0
1,-0.714285714286
0,0.123076923077
1,0.5
0,0.0
0,0.0
0,0.13125
0,0.5
0,0.0916666666667
1,0.5
1,-0.222222222222
0,0.118981481481
0,0.0
0,0.0364285714286
0,0.5
1,-0.416666666667
0,0.495238095238
0,0.0
0,0.0305916305916
0,0.5
0,0.15
0,-0.0760582010582
1,-0.233333333333
1,0.5
0,-0.111328125
0,-0.347222222222
0,-0.1
0,-0.5
1,-0.125
1,-0.065625
0,0.0
1,0.0625
0,0.0
0,0.0441666666667
0,0.0
0,0.0
1,-0.714285714286
0,0.0226388888889
0,-0.4
1,0.0
0,0.285714285714
0,1.0
0,0.0
0,0.0
1,-0.475
0,0.0178571428571
0,0.0
0,0.123333333333
0,0.0
0,0.0
0,0.205952380952
0,-0.7
0,0.0
0,0.0
0,0.266666666667
1,0.381469726562
0,0.5
1,0.0
0,0.6
0,0.378472222222
0,0.1
1,0.00833333333333
1,-0.238095238095
0,0.0
1,0.0
1,0.00625
0,0.0
0,-0.2225
0,0.210052910053
0,-0.11
0,0.7
0,0.0
0,0.0
0,0.0738795518207
0,0.5
0,0.264880952381
0,0.0
0,-0.38125
0,0.110426716141
0,0.5
0,0.6
0,0.5
0,0.0
0,0.266666666667
0,-0.00477272727273
0,0.5
0,0.0
1,0.0
0,0.3125
0,0.0
1,0.0222789115646
0,0.4125
0,0.0
0,-0.353125
0,0.025
1,-0.8
0,-0.3
1,0.0
0,0.0
1,-0.114540816327
0,-0.5
0,-0.1
0,-0.2
1,-0.0178571428571
0,-0.14
1,-0.262797619048
0,-0.441666666667
1,-0.8
0,0.1
1,-0.8
1,-0.8
0,-0.5
1,0.0
1,-0.4
0,0.0
0,0.2
0,-0.160251322751
0,-0.0333333333333
0,-0.35
0,0.0
0,0.466666666667
1,0.0
0,0.0
0,0.0
0,0.6
1,-0.0285714285714
0,0.0
0,-0.027380952381
0,-0.9375
1,-0.8
0,-0.2
0,0.0
0,-0.0625
0,0.0431818181818
0,-0.02
0,0.0241071428571
1,-1.0
0,-0.2
0,0.0
0,-0.5
0,0.0381448412698
0,0.4
0,0.525
1,-0.528125
